Absorption,Concentration
0.21498421,0.150207308
0.21004787,0.146758337
0.21239173,0.148395969
0.20908373,0.146084702
0.21335864,0.149071539
0.21227676,0.14831564
0.21236873,0.148379899
0.2128611,0.148723913
0.21667626,0.151389527
0.21676452,0.151451193
0.21541008,0.150504859
0.21566487,0.150682879
0.205167,0.143348122
0.21183099,0.148004185
0.21167025,0.147891878
0.21509064,0.15028167
0.2151832,0.150346341
0.21421223,0.149667934
0.21926181,0.153196024
0.21351078,0.149177838
0.2093394,0.146263336
0.21105541,0.147462295
0.21716424,0.151730473
0.21432309,0.14974539
0.21266777,0.148588835
0.21438777,0.149790582
0.21013021,0.146815867
0.21461885,0.149952035
0.21409216,0.149584042
0.21135355,0.147670603
0.21478993,0.150071567
0.21294398,0.14878182
0.20732547,0.144856224
0.21211127,0.148200014
0.2127276,0.148630638
0.20808529,0.145387102
0.21101415,0.147433467
0.20671675,0.144430917
0.21317891,0.148945963
0.21466046,0.149981107
0.20543396,0.143534645
0.20423619,0.142697775
0.21133061,0.147654575
0.21297622,0.148804346
0.21488243,0.150136196
0.21583173,0.150799462
0.21917305,0.153134009
0.21155089,0.147808482
0.21251132,0.148479525
0.21262175,0.148556681
0.21676917,0.151454442
0.21371833,0.149322851
0.21233194,0.148354194
0.21562317,0.150653743
0.21554904,0.150601949
0.21201476,0.148132583
0.2108583,0.147324576
0.21615172,0.151023036
0.21043687,0.147030128
0.21455413,0.149906816
0.20887382,0.14593804
0.215943,0.150877205
0.21615636,0.151026278
0.21246532,0.148447385
0.21193205,0.148074795
0.21543787,0.150524276
0.21210207,0.148193586
0.21122968,0.147584056
0.20981463,0.146595375
0.21107376,0.147475116
0.20829482,0.145533499
0.21098206,0.147411046
0.20899701,0.146024112
0.2139352,0.149474376
0.21723865,0.151782463
0.20843152,0.14562901
0.21779245,0.152169397
0.2131098,0.148897677
0.21081706,0.147295762
0.21561854,0.150650508
0.21219401,0.148257824
0.21124803,0.147596877
0.20879171,0.145880671
0.21432309,0.14974539
0.21729911,0.151824706
0.21316969,0.148939521
0.20572373,0.143737104
0.20960437,0.146448468
0.21355228,0.149206833
0.21527116,0.150407797
0.21028123,0.146921383
0.2092846,0.146225048
0.20893769,0.145982666
0.21654623,0.151298676
0.20773024,0.145139032
0.21625379,0.151094351
0.21638838,0.151188388
0.21253893,0.148498816
0.21579464,0.150773548
0.21796944,0.152293059
0.20976891,0.146563431
0.21178965,0.147975301
0.21114713,0.147526379
0.21850552,0.152667612
0.21073,0.147234934
0.20904721,0.146059186
0.21626771,0.151104077
0.21059257,0.147138914
0.20898789,0.14601774
0.21228596,0.148322068
0.21469744,0.150006945
0.20861842,0.145759595
0.21811855,0.15239724
0.20670767,0.144424573
0.21139025,0.147696245
0.21770398,0.152107584
0.20800333,0.145329838
0.21300385,0.148823651
0.2113719,0.147683424
0.21276442,0.148656363
0.21302228,0.148836528
0.221595,0.154826201
