Absorption,
0.21375523,0.17992246
0.21345545,0.17442011
0.21383367,0.17959218
0.21829101,0.17364644
0.21469744,0.18425928
0.21249752,0.1814538
0.21219401,0.16990757
0.21172995,0.1683078
0.21572048,0.17515184
0.21351078,0.17846791
0.20809895,0.17265487
0.21460036,0.17575073
0.21399521,0.1803287
0.21080331,0.17425112
0.21445708,0.1681373
0.21199178,0.17550635
0.21120216,0.17702612
0.21017597,0.18616933
0.21404137,0.16641666
0.20722547,0.17600709
0.21129849,0.17374062
0.20689382,0.18594727
0.21817913,0.16982589
0.20910198,0.18534223
0.21332176,0.17997024
0.21265396,0.17727532
0.2163234,0.17107227
0.20669405,0.17988266
0.2095998,0.17833304
0.21090872,0.17903167
0.21319273,0.17555364
0.21340013,0.18335554
0.20992437,0.17549453
0.21470207,0.17594397
0.21261255,0.17181401
0.2146096,0.18465752
0.21316508,0.16983367
0.21596155,0.16972866
0.21329872,0.1804363
0.20998383,0.18095473
0.21426303,0.17497076
0.21141779,0.17770285
0.21405984,0.18023308
0.2131098,0.1781982
0.21608677,0.17369353
0.21471132,0.17502193
0.21513229,0.1828663
0.21765743,0.1799782
0.22189576,0.17355621
0.21498421,0.17543148
0.21004787,0.18261788
0.21239173,0.18334752
0.20908373,0.17578227
0.21335864,0.17824182
0.21227676,0.17511247
0.21236873,0.18858705
0.2128611,0.17587692
0.21667626,0.17987469
0.21676452,0.18114231
0.21541008,0.17479369
0.21566487,0.1719117
0.205167,0.1843196
0.21183099,0.17198987
0.21167025,0.17878543
0.21509064,0.17449087
0.2151832,0.18184548
0.21421223,0.18361242
0.21926181,0.17001651
0.21351078,0.17678893
0.2093394,0.18074728
0.21105541,0.17033959
0.21716424,0.17049148
0.21432309,0.18196545
0.21266777,0.18028487
0.21438777,0.17164213
0.21013021,0.178337
0.21461885,0.18420299
0.21409216,0.1724357
0.21135355,0.17288982
0.21478993,0.16369308
0.21294398,0.17823785
0.20732547,0.17790885
0.21211127,0.16824192
0.2127276,0.17683635
0.20808529,0.17204069
0.21101415,0.17050706
0.20671675,0.1718101
0.21317891,0.18065556
0.21466046,0.18166958
0.20543396,0.17631492
0.20423619,0.16623533
0.21133061,0.16362022
0.21297622,0.18094276
0.21488243,0.17462062
0.21583173,0.16289617
0.21917305,0.17864252
0.21155089,0.17696681
0.21251132,0.17847981
0.21262175,0.17131027
0.21676917,0.17968368
0.21371833,0.17782565
0.21233194,0.17876955
0.21562317,0.1714586
0.21554904,0.17517546
0.21201476,0.17246309
0.2108583,0.16887404
0.21615172,0.16898271
0.21043687,0.18029682
0.21455413,0.17785338
0.20887382,0.17026561
0.215943,0.17685612
0.21615636,0.17543148
0.21246532,0.17899989
0.21193205,0.17042137
0.21543787,0.17944105
0.21210207,0.17404292
0.21122968,0.17280758
0.20981463,0.17715664
0.21107376,0.17706962
0.20829482,0.17318369
0.21098206,0.17567582
0.20899701,0.17874573
0.2139352,0.17726741
0.21723865,0.18344383
0.20843152,0.17159916
0.21779245,0.17983887
0.2131098,0.18105051
0.21081706,0.17721598
0.21561854,0.17364644
0.21219401,0.17929394
0.21124803,0.17957627
0.20879171,0.18130202
0.21432309,0.16527976
0.21729911,0.18075925
0.21316969,0.17916676
0.20572373,0.18386542
0.20960437,0.17029676
0.21355228,0.18081908
0.21527116,0.17543936
0.21028123,0.17113078
0.2092846,0.17902372
0.20893769,0.17659531
0.21654623,0.17009434
0.20773024,0.16899436
0.21625379,0.17207978
0.21638838,0.17731885
0.21253893,0.17145079
0.21579464,0.17184527
0.21796944,0.17532512
0.20976891,0.17380735
0.21178965,0.17296033
0.21114713,0.17388978
0.21850552,0.18331943
0.21073,0.16545684
0.20904721,0.17562458
0.21626771,0.16744436
0.21059257,0.17124393
0.20898789,0.17680869
0.21228596,0.17421183
0.21469744,0.17525816
0.20861842,0.18665827
0.21811855,0.17611757
0.20670767,0.1711698
0.21139025,0.1754827
0.21770398,0.17433364
0.20800333,0.17528573
0.21300385,0.16987256
0.2113719,0.17425898
0.21276442,0.18288233
0.21302228,0.1762636
0.221595,0.16776166
0.21733633,0.18021316
0.21296701,0.18343981
0.21214344,0.1752621
0.21557684,0.16665984
0.21481305,0.18172954
0.21434619,0.17813477
0.22214498,0.169787
0.21200097,0.17724763
0.21458187,0.18614914
0.21123886,0.17595975
0.21471132,0.17645312
0.21115171,0.17848775
0.2148593,0.18279416
0.21316969,0.17430613
0.21416143,0.16995426
0.21639302,0.18194546
0.20982378,0.17262747
0.21474831,0.17490386
0.21463734,0.17159916
0.21383367,0.17477402
0.21018512,0.16957315
0.21259414,0.17349737
0.21002499,0.16921569
0.21260334,0.170215
0.20826293,0.17464815
0.21184936,0.17744549
0.21366758,0.17159526
0.2149657,0.16891285
0.21078498,0.17915086
0.21202395,0.17238092
0.20873698,0.16849
0.2111884,0.1861128
0.21597083,0.17448694
0.20699374,0.17541966
0.21893486,0.17125954
0.21167943,0.18337561
0.21585027,0.17872191
0.21731307,0.17382697
0.20988779,0.17617676
0.21647658,0.17989062
0.21434157,0.18052
0.21448018,0.17622412
0.21634661,0.17983489
0.20968663,0.17699844
0.21568341,0.17456164
0.2183423,0.16960814
0.21218481,0.17761969
0.20976891,0.17495502
0.20890119,0.17865443
0.21233654,0.18052
0.21297162,0.17916676
0.21008904,0.17790092
0.21015309,0.17109568
0.20780304,0.17928202
0.21089497,0.17985877
0.21447094,0.18190546
0.21959837,0.17104107
0.20789407,0.182694
0.21822575,0.18381722
0.21566487,0.18037253
0.21245152,0.16595383
0.20895138,0.17869015
0.21057425,0.18385739
0.20892857,0.17586114
0.22122404,0.17551817
0.20947187,0.17574285
0.20588681,0.18093079
0.21470207,0.1759992
0.21723865,0.17879337
0.21146368,0.17640968
0.21352922,0.18427939
0.20943989,0.17331698
0.21794615,0.1808869
0.21746195,0.17494321
0.21278744,0.17023446
0.20765289,0.17352875
0.21111044,0.18294647
0.20660781,0.17908332
0.21206071,0.1691186
0.21421223,0.17754842
0.21071167,0.18402212
0.21411987,0.17264313
0.21513229,0.1734503
0.21229056,0.17549059
0.2099884,0.17999412
0.20898332,0.17661111
0.21322959,0.18311085
0.21362146,0.18523744
0.21083539,0.17661111
0.21026292,0.1754039
0.21313744,0.18272204
0.20687112,0.17912702
0.20955411,0.17857902
0.20927547,0.17682054
0.206449,0.16528746
0.21350617,0.17623991
0.21141779,0.17853536
0.21621203,0.17256484
0.21140402,0.17424326
0.21202395,0.17937345
0.21740146,0.17087339
0.21530357,0.17337187
0.20987864,0.16872271
0.22050649,0.18126608
0.21360762,0.17111518
0.21386136,0.17254919
0.21163811,0.17751674
0.20878715,0.17729906
0.20896507,0.18637131
0.2139352,0.17030065
0.21679705,0.17032012
0.21379214,0.17472288
0.20870505,0.17360329
0.21838893,0.17269794
0.2073482,0.17606627
0.21071625,0.17966776
0.21316969,0.17231051
0.22090029,0.17809909
0.21549808,0.17720015
0.20990608,0.17460096
0.21700152,0.17224401
0.21214804,0.18031276
0.21137649,0.1759558
0.21748521,0.17264313
0.21455876,0.16972478
0.21251132,0.18629051
0.20870049,0.17937743
0.21067044,0.17817838
0.20765289,0.1668993
0.21191367,0.17392119
0.21459111,0.1689439
0.21002042,0.17148983
0.21862215,0.16839695
0.21184477,0.17270185
0.21409678,0.17990256
0.214568,0.17800396
0.21522949,0.1713454
0.21472981,0.1711893
0.21543787,0.16739021
0.21813719,0.16655175
0.21600329,0.16954594
0.22046901,0.17428648
0.21665304,0.18077919
0.21357995,0.16946433
0.21514155,0.17514003
0.20830393,0.17754446
0.2147668,0.17295642
0.21236413,0.17399187
0.21926649,0.17538421
0.21774123,0.17007877
0.21007531,0.17111908
0.2161146,0.17366999
0.21504899,0.1783489
0.20662143,0.17238484
0.21525727,0.169822
0.21397675,0.17646101
0.20934397,0.17425112
0.22222024,0.1780753
0.21500272,0.17399187
0.21403676,0.17368961
0.21322038,0.17637019
0.20793049,0.17661111
0.21147286,0.1656417
0.21918239,0.16923899
0.21399059,0.17655976
0.21500734,0.17760781
0.21264936,0.16450298
0.21373678,0.1694721
0.21512766,0.17625965
0.21314665,0.17283499
0.21357073,0.17294858
0.21661124,0.17940526
0.21111044,0.17390156
0.20997468,0.17772661
0.21041398,0.17946888
0.2115463,0.17580199
0.21675988,0.18299457
0.21600329,0.16394625
0.21027207,0.17855521
0.20929374,0.17777811
0.2154286,0.18035261
0.21116547,0.17390941
0.21189989,0.18047217
0.21489631,0.17997422
0.21230435,0.1720446
0.20693924,0.1711815
0.21782039,0.17095527
0.2100067,0.17810305
0.21462347,0.17497863
0.22046901,0.17081491
0.20970492,0.17358759
